file_id,path,size_bytes,lang,sha256
F00000,.agents/skills/testing-self-evolution/SKILL.md,6067,markdown,0eb6406580eedc5f90197804380582e8532ed6c062d57a56a705603abad29294
F00001,.github/workflows/ci.yml,969,ci-config,c99480a4e8f4b3d6a31f7d0b7df803291d1c6336003401b880bd2607d76799f4
F00002,.github/workflows/dashboard2026.yml,2688,ci-config,2caf42e95185cf87ec3c20b7fd421e902ecb6ea33499c05adeb566ee7bc2f007
F00003,.github/workflows/property_tests.yml,1177,ci-config,83620c54705f457051a1b2ec012a7bac9dbea7c35aab6a28b4ff426e7c573111
F00004,.github/workflows/rust_revival_reminder.yml,1488,ci-config,4ed6081382dc05c87a7bef3de74d2f1ef3b275900766b2da1ba7813526ed9008
F00005,.github/workflows/total_validation.yml,1547,ci-config,05b4695f78d8712e477ab2cb53994433c31429ca7b00350007e49e11ce124d68
F00006,.gitignore,890,unknown,a40657e3d4d255b0591d4a2c8fd43b76077d4a30c4ed8db87b378511d677e0c2
F00007,README.md,5920,markdown,1241a679e8b83dded9e06aa2f2c9ceb0435d598fcd0f1fc0b6d1e6fbbb5a0384
F00008,contracts/events.proto,7246,protobuf,f545bf666abaea73e219e8a92de169b819edfe6a35545902a750ee1334c117bd
F00009,core/__init__.py,125,python,9ff16df0d7a0936d23036486fc9178ac611e1991e262cd2d4edfbddba8156a11
F00010,core/causal_graph.py,22388,python,c7e6338001dde5db93dec44468d28318b668facc38b64acf547cf2356a56468a
F00011,core/cognitive_router/__init__.py,1787,python,385d4b4b1d12f6775da066657de2245a46958ecea70830c0d27b3d1b427206f0
F00012,core/cognitive_router/router.py,3363,python,b9ea1c4cb20069c6d62e32cfff431178cf24b31ee46766e1a754574f4f78e86e
F00013,core/cognitive_router/task_class.py,4545,python,28ad77bd9a4f8d6282a3fe34ccc216165c93bcf0df528028015054d82716464d
F00014,core/coherence/__init__.py,1668,python,4bac268cf75556805e4eb59db1793034e1055fef8c6db692478f641970333a6d
F00015,core/coherence/belief_state.py,7457,python,b1eef6ffd3b6e79f4ad528d13d17ec8e279e3b93d9d131dc7c4eb82151f18361
F00016,core/coherence/decision_trace.py,16261,python,6e86c0a1a9086e582387d6569b6a5d995a5aea901c622b8f36a5292efb835903
F00017,core/coherence/performance_pressure.py,11122,python,6f20d1f11e5edb6985b138c002ce055229b64f2f48dc74fe617723f8748c0eaa
F00018,core/coherence/system_intent.py,7040,python,b4b5fc01c59c661189bd72c27a13b13716102279e81e9f7cf0d315ca1462cffe
F00019,core/constraint_engine/__init__.py,627,python,278d5326fd635d03c96e9f9e8c2198b5caacacfec97c24b2a1c8b68814bec824
F00020,core/constraint_engine/compiler.py,10318,python,952453f738f2e4af4186137e79bef6bccbb23b5c7d05a0b1b18372000f3e2f72
F00021,core/constraint_engine/expr.py,8189,python,c6218a6d9e87c76bd61c94fb317b97d88f2fdcd05b40ab674f45222cd4c44d9a
F00022,core/contracts/__init__.py,997,python,65432f5049862fa10c211f5f1cf5c710bcd7da3036e5b212aff17bfd85fa6472
F00023,core/contracts/agent.py,4333,python,b8afa2e806830e8f247568bb024027b4d8cb4a30276f7c01fc1455de9291e45e
F00024,core/contracts/api/__init__.py,0,python,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
F00025,core/contracts/api/backtest_ingestion.py,2581,python,be179dc2744ca5a3cccc33f870484ec488a8443c261a8916b5a4a52635e84ac0
F00026,core/contracts/api/cognitive_chat.py,6354,python,e854860012d483a63647116b97064bf7021f20c456f6cdd87cde1a6c7aceb9e8
F00027,core/contracts/api/cognitive_chat_approvals.py,8656,python,307d622215269c707eacbaff34e4eb7289e479c47c156be14fb8c2c9d1b50731
F00028,core/contracts/api/credentials.py,2080,python,6e25323d559ce196d639adc34f815fb09cb293cb4b4f56bffa21969d9bddeab4
F00029,core/contracts/api/governance.py,3488,python,bf32d84a1318c048927d1ea4036f7d266355a4e9aeba4a65687316d2b7dffd95
F00030,core/contracts/api/operator.py,7783,python,9206626656e69b8bc33393fb3bf1dab4f81f89bb1e1f7f5e604deea3c54118c5
F00031,core/contracts/api/source_trust.py,4225,python,ca35fcd419ec87d60ed40190f91937345856bcfa2fa77b52b85bc7e01522447f
F00032,core/contracts/backtest_result.py,11652,python,2aa72ffaefa54dbc23895f2024994c210aeab6b70ff78542319c05fce20c2e16
F00033,core/contracts/critique.py,25500,python,8129e527cbd4d2a2b5ad1c11c7e6ffe4501075296c87491905ef39d580bab94a
F00034,core/contracts/decision_trace.py,16880,python,075e08241a98ef9cb3c6b7cbc6ec548e87e59ba5159c70c74ff3bbbc56971ba5
F00035,core/contracts/development_mode.py,11649,python,b5e2ce50432dc8d910658c36dc0df5aa7083a7adc7548dd8737a8870f480e9ac
F00036,core/contracts/engine.py,6958,python,acaf240dd8b88f0877c28a7743354682bde73f79a2b44c6d2b09c23542d243a8
F00037,core/contracts/event_provenance.py,7802,python,9b7474d70fcbffee85644ed0e228d2f280a9f647111fbc85bedbe9217ffb3e0b
F00038,core/contracts/events.py,15343,python,e0c6f241652c2abd202eac15f2c88e2fa0f31afc3d2080b76b53392a444a9b76
F00039,core/contracts/execution_intent.py,14176,python,f9ee7d8727373cbc0da246aba51c3db5c82ca14ace89d93091dfc560129c14e2
F00040,core/contracts/external_signal_trust.py,5490,python,06d623ddd5d5b48ed7f6a5464ded77fd6b2b8d6e6ffc3021c8637d10598a7064
F00041,core/contracts/governance.py,14557,python,e43cb1525d9b8ed19b350e572a77042aa929cff6e4bd3e9112f6ea620ecf2015
F00042,core/contracts/launches.py,3000,python,23d6d86dd08c7b7a95fb305f54bcfd94e8757fdf7b01b290b78301edbe9084cf
F00043,core/contracts/learning.py,2699,python,ebcd61b13b4eaf83bb204a6011531ad5962f87bbb11d758b6ee935ff7fc3028b
F00044,core/contracts/learning_evolution_freeze.py,9112,python,9a10e8efac63b2b795a88b3dea937f8b8db295ccaeb571fc9f773852af2b3d2c
F00045,core/contracts/learning_sink.py,2128,python,57bb8f8a3f0a84022521ec8cce84a9e63b635f2aebcb3aa6c61945fc99e9ca86
F00046,core/contracts/macro.py,3999,python,a477c6cde5cadef578c70cef2bc6ccfc9f6ba518199c898a6f9a6bad998156cd
F00047,core/contracts/macro_regime.py,5450,python,8309ceaea16617f351ce1e377cab0cdc479e3677990349b369e08df16b559b5e
F00048,core/contracts/market.py,1609,python,f16a9ff81bc119daafd08d82bc2a777dd3f0209bc249d5bb95f049681f1f6241
F00049,core/contracts/mode_effects.py,10753,python,0b14fc48413a5b470cf500297d072c2344379f97fc9237e68fb2a1d89658651f
F00050,core/contracts/news.py,2891,python,20538d2ec897151b7f1ef89b3f85592a5b5553a3e2d59f1cf2541fb5688766fe
F00051,core/contracts/operator_consent.py,13913,python,92f07f0ffbee67ee745e9d81372f1f69c41794373e33d7c52ec0a14dde8f5aa9
F00052,core/contracts/opponent.py,7813,python,4547e70a406cf182c6e1c6578baa1d7c63fb355a15d1a78e3f841fa70df791ff
F00053,core/contracts/patch.py,6038,python,57d8e37c2e06fb47be54bd88e14ac9c4a17ca01ee37adf63fb72fcb21884aa36
F00054,core/contracts/portfolio.py,4776,python,1e56ac6f442a62c313ad2215170135ad14426b8fc5b3f9954958a2b582e8726c
F00055,core/contracts/risk.py,1773,python,5042031b5d3248e5e676701d4ea0277cd18d1775c16668765a3107a207921657
F00056,core/contracts/signal_trust.py,3697,python,3b94fd4225d0107cdf25229fb17c18c860c68e457b3f026f33214927a36ae8d8
F00057,core/contracts/simulation.py,5114,python,88b170d912ee3a3dff9e4a42a1f4c598b37fdd4f4004062e50070c2862817681
F00058,core/contracts/source_trust_promotions.py,7336,python,0809435167cabc02e00557eda3f7ef22e078ed3c43e94e224be752a9b8c4b74a
F00059,core/contracts/strategy_registry.py,6130,python,9bfd42d7071ad4b1b04040640a1ee13cf6e3d0e5f21215e32a4bc1d511997b7a
F00060,core/contracts/trader_intelligence.py,12840,python,4cd48f9e450ad53b42c8b2051e9bb5a98d33253eddcf36e8f6bd7ac3de574fb9
F00061,core/event_cognition/__init__.py,760,python,7cfe6f9741c8285efda7419f8bb98d5f7fdd163235275ab4eb339103f2f53857
F00062,core/event_cognition/lava_patterns.py,30079,python,bf49f9c510911305b1c5a11ce0d4a7a2bb373c7821d0b19defb68a76fcc7e264
F00063,dash_meme/.gitignore,91,unknown,e8a9efb1681684f108f4a29a4df2904e12062242636d6428958ed7fddd41cf2f
F00064,dash_meme/eslint.config.js,896,js,277902686733e05efb621ff81021b47da5c54dd6969a8188511689800d68e4ae
F00065,dash_meme/index.html,364,html,22cb0dfa11385f8423a7cd7c96d20e2c9b142cf00c64b92ba8967689e3b4c704
F00066,dash_meme/package-lock.json,141719,json,d24efefff555d95e72cd680afc7fb85caa661e5d668a6c250db7b66eece4eb8c
F00067,dash_meme/package.json,1131,json,6a919d7dc6e4804d5f6612d4fc7e95b7670333685a87d9ed3911b6da3afdce47
F00068,dash_meme/postcss.config.js,81,js,e32657baf631d7c5f4dc67b4b2ee0ec8e7d5b3c41860e09cddce7c0377cd80bc
F00069,dash_meme/src/App.tsx,2147,tsx,604634d1713435ded93fb52dade5fe9eb9aab8d922f700183c70f96d42a83db2
F00070,dash_meme/src/api/base.ts,1872,ts,befd5fe5243916151f063e2fea501e835f8a4248a592635163ab848c65d76d29
F00071,dash_meme/src/api/feeds.ts,2897,ts,7f82eb442ea5a5554d045e5395148eb078b6401290ab55866edae91acde356d1
F00072,dash_meme/src/api/intent.ts,1759,ts,08e29bdef452fd4b9dacfe5270b40a9d46a95a2e1b548db830deb4d5aa5f7444
F00073,dash_meme/src/components/HoldersPanel.tsx,2805,tsx,9877165c1d0b99ccc770928542ce6e6a6bec7737d9156bed883043fb6924d5a4
F00074,dash_meme/src/components/HotPairsTicker.tsx,3455,tsx,69b81cef505fa80fbe106694bc768f00952ec332e7181e68715c03cb2fc53c6b
F00075,dash_meme/src/components/Panel.tsx,777,tsx,67dd34e4d3b46245f98a490f359a85df425f0e0dc7800ef1f5e0a0459153bc07
F00076,dash_meme/src/components/PriceChart.tsx,3191,tsx,689490f4f41780622dc791fcabee3d7bb24b5dda8d78596cf94fe4653903310d
F00077,dash_meme/src/components/RugScoreCard.tsx,3690,tsx,b94d9af30d3cd26e3bea5448f47ba33b58488d3c4a15ec748a39672acc91f3f9
