file_id,path,in_degree,kind
F00009,core/__init__.py,2344,init
F00010,core/causal_graph.py,9,imported
F00011,core/cognitive_router/__init__.py,56,init
F00012,core/cognitive_router/router.py,4,imported
F00013,core/cognitive_router/task_class.py,8,imported
F00014,core/coherence/__init__.py,146,init
F00015,core/coherence/belief_state.py,54,imported
F00016,core/coherence/decision_trace.py,14,imported
F00017,core/coherence/performance_pressure.py,40,imported
F00018,core/coherence/system_intent.py,53,imported
F00019,core/constraint_engine/__init__.py,29,init
F00020,core/constraint_engine/compiler.py,7,imported
F00021,core/constraint_engine/expr.py,2,imported
F00022,core/contracts/__init__.py,2030,init
F00023,core/contracts/agent.py,32,imported
F00024,core/contracts/api/__init__.py,95,init
F00025,core/contracts/api/backtest_ingestion.py,3,imported
F00026,core/contracts/api/cognitive_chat.py,14,imported
F00027,core/contracts/api/cognitive_chat_approvals.py,44,imported
F00028,core/contracts/api/credentials.py,7,imported
F00029,core/contracts/api/governance.py,5,imported
F00030,core/contracts/api/operator.py,16,imported
F00031,core/contracts/api/source_trust.py,6,imported
F00032,core/contracts/backtest_result.py,31,imported
F00033,core/contracts/critique.py,31,imported
F00034,core/contracts/decision_trace.py,25,imported
F00035,core/contracts/development_mode.py,26,imported
F00036,core/contracts/engine.py,116,imported
F00037,core/contracts/event_provenance.py,17,imported
F00038,core/contracts/events.py,715,imported
F00039,core/contracts/execution_intent.py,46,imported
F00040,core/contracts/external_signal_trust.py,22,imported
F00041,core/contracts/governance.py,198,imported
F00042,core/contracts/launches.py,12,imported
F00043,core/contracts/learning.py,110,imported
F00044,core/contracts/learning_evolution_freeze.py,39,imported
F00045,core/contracts/learning_sink.py,2,imported
F00046,core/contracts/macro.py,14,imported
F00047,core/contracts/macro_regime.py,16,imported
F00048,core/contracts/market.py,68,imported
F00049,core/contracts/mode_effects.py,31,imported
F00050,core/contracts/news.py,36,imported
F00051,core/contracts/operator_consent.py,15,imported
F00052,core/contracts/opponent.py,12,imported
F00053,core/contracts/patch.py,43,imported
F00054,core/contracts/portfolio.py,10,imported
F00055,core/contracts/risk.py,20,imported
F00056,core/contracts/signal_trust.py,65,imported
F00057,core/contracts/simulation.py,115,imported
F00058,core/contracts/source_trust_promotions.py,20,imported
F00059,core/contracts/strategy_registry.py,22,imported
F00060,core/contracts/trader_intelligence.py,46,imported
F00061,core/event_cognition/__init__.py,15,init
F00062,core/event_cognition/lava_patterns.py,25,imported
F00298,dashboard_backend/__init__.py,59,init
F00299,dashboard_backend/control_plane/__init__.py,43,init
F00300,dashboard_backend/control_plane/decision_trace.py,8,imported
F00301,dashboard_backend/control_plane/engine_status_grid.py,9,imported
F00302,dashboard_backend/control_plane/memecoin_control_panel.py,9,imported
F00303,dashboard_backend/control_plane/mode_control_bar.py,8,imported
F00304,dashboard_backend/control_plane/router.py,15,imported
F00305,dashboard_backend/control_plane/strategy_lifecycle_panel.py,10,imported
F00342,docs/system_audit/_tools/build_plan_stage.py,0,entrypoint
F00343,docs/system_audit/_tools/build_tracking.py,0,entrypoint
F00344,docs/system_audit/_tools/bulk_scan.py,0,entrypoint
F00345,docs/system_audit/_tools/enumerate.py,0,entrypoint
F00346,docs/system_audit/_tools/finalize_tracking.py,0,entrypoint
F00347,docs/system_audit/_tools/orphan_scan.py,0,entrypoint
F00348,docs/system_audit/_tools/registry_coverage.py,0,entrypoint
F00368,enforcement/__init__.py,1,init
F00369,evolution_engine/__init__.py,590,init
F00370,evolution_engine/critique_loop.py,8,imported
F00371,evolution_engine/engine.py,6,imported
F00372,evolution_engine/environments/__init__.py,46,init
F00373,evolution_engine/environments/anytrading_env.py,14,imported
F00374,evolution_engine/environments/base_env.py,12,imported
F00375,evolution_engine/environments/multiagent_env.py,17,imported
F00376,evolution_engine/experiment_tracking.py,19,imported
F00377,evolution_engine/genetic/__init__.py,125,init
F00378,evolution_engine/genetic/cmaes_optimizer.py,21,imported
F00379,evolution_engine/genetic/crossover.py,13,imported
F00380,evolution_engine/genetic/mutation_operators.py,26,imported
F00381,evolution_engine/genetic/strategy_chromosome.py,63,imported
F00382,evolution_engine/gym_env.py,67,imported
F00383,evolution_engine/intelligence_loops/__init__.py,13,init
F00384,evolution_engine/intelligence_loops/mutation_proposer.py,16,imported
F00385,evolution_engine/loops/__init__.py,6,init
F00386,evolution_engine/loops/structural_loop.py,9,imported
F00387,evolution_engine/patch_pipeline/__init__.py,140,init
F00388,evolution_engine/patch_pipeline/backtest.py,12,imported
F00389,evolution_engine/patch_pipeline/canary.py,5,imported
F00390,evolution_engine/patch_pipeline/events.py,14,imported
F00391,evolution_engine/patch_pipeline/orchestrator.py,13,imported
F00392,evolution_engine/patch_pipeline/pipeline.py,30,imported
F00393,evolution_engine/patch_pipeline/rollback.py,3,imported
F00394,evolution_engine/patch_pipeline/sandbox.py,5,imported
F00395,evolution_engine/patch_pipeline/sandbox_openhands.py,32,imported
F00396,evolution_engine/patch_pipeline/shadow.py,5,imported
F00397,evolution_engine/patch_pipeline/static_analysis.py,28,imported
F00398,evolution_engine/pipeline.py,26,imported
F00399,evolution_engine/rllib_trainer.py,16,imported
F00400,evolution_engine/sandbox.py,15,imported
F00401,evolution_engine/sandbox_elegant.py,23,imported
F00402,evolution_engine/sandbox_sample_factory.py,23,imported
F00403,evolution_engine/sandbox_tianshou.py,23,imported
F00404,execution_engine/__init__.py,392,init
F00405,execution_engine/adapters/__init__.py,170,init
F00406,execution_engine/adapters/_cache_mixin.py,10,imported
F00407,execution_engine/adapters/_hummingbot_gateway.py,8,imported
F00408,execution_engine/adapters/_live_base.py,38,imported
F00409,execution_engine/adapters/_retry_mixin.py,28,imported
F00410,execution_engine/adapters/_retry_mixin_tenacity.py,12,imported
F00411,execution_engine/adapters/_uniswapx_quote.py,11,imported
F00412,execution_engine/adapters/_uniswapx_signer.py,11,imported
F00413,execution_engine/adapters/base.py,6,imported
F00414,execution_engine/adapters/binance.py,4,imported
F00415,execution_engine/adapters/helius.py,5,imported
F00416,execution_engine/adapters/hummingbot.py,6,imported
F00417,execution_engine/adapters/paper.py,10,imported
F00418,execution_engine/adapters/pumpfun.py,4,imported
F00419,execution_engine/adapters/registry.py,5,imported
F00420,execution_engine/adapters/router.py,4,imported
F00421,execution_engine/adapters/solana_native.py,1,imported
F00422,execution_engine/adapters/uniswapx.py,6,imported
F00423,execution_engine/engine.py,17,imported
F00424,execution_engine/execution_gate.py,23,imported
F00425,execution_engine/hot_path/__init__.py,25,init
F00426,execution_engine/hot_path/fast_execute.py,9,imported
F00427,execution_engine/hot_path/fast_structs.py,16,imported
F00428,execution_engine/lifecycle/__init__.py,21,init
F00429,execution_engine/lifecycle/fill_handler.py,6,imported
F00430,execution_engine/lifecycle/order_state_machine.py,9,imported
F00431,execution_engine/lifecycle/partial_fill_resolver.py,5,imported
