file_id,path,n_refs,status,referenced_by_first5
F00617,registry/agent_rationale_tags.yaml,9,ok,core/contracts/agent.py;intelligence_engine/agents/adversarial.py;intelligence_engine/agents/lp.py;intelligence_engine/agents/macro.py;intelligence_engine/agents/swing.py
F00618,registry/agent_state_keys.yaml,7,ok,core/contracts/agent.py;intelligence_engine/agents/_base.py;intelligence_engine/agents/adversarial.py;intelligence_engine/agents/lp.py;intelligence_engine/agents/macro.py
F00619,registry/authority_matrix.yaml,16,ok,core/constraint_engine/__init__.py;core/constraint_engine/compiler.py;core/contracts/execution_intent.py;enforcement/__init__.py;execution_engine/execution_gate.py
F00620,registry/confidence.yaml,4,ok,intelligence_engine/meta_controller/config.py;tests/test_meta_controller_confidence_engine.py;tests/test_meta_controller_runtime_adapter.py;ui/server.py
F00621,registry/constraint_rules.yaml,10,ok,core/constraint_engine/__init__.py;core/constraint_engine/compiler.py;enforcement/__init__.py;governance_engine/control_plane/policy_hash_anchor.py;governance_engine/gates/rulegraph_patch_evaluator.py
F00622,registry/data_source_registry.yaml,27,ok,core/cognitive_router/__init__.py;core/cognitive_router/task_class.py;core/contracts/trader_intelligence.py;governance_engine/control_plane/policy_hash_anchor.py;intelligence_engine/cognitive/chat/http_chat_transport.py
F00623,registry/engines.yaml,7,ok,sensory/web_autolearn/crawler_playwright.py;sensory/web_autolearn/crawler_scrapy.py;system_engine/config.py;system_engine/logging.py;tests/test_engine_contracts.py
F00624,registry/external_signal_trust.yaml,11,ok,core/contracts/api/backtest_ingestion.py;core/contracts/api/source_trust.py;core/contracts/events.py;core/contracts/external_signal_trust.py;core/contracts/signal_trust.py
F00625,registry/feast/feature_store.yaml,1,ok,tests/test_feature_store.py
F00626,registry/macro_regime.yaml,1,ok,intelligence_engine/macro/regime_engine.py
F00627,registry/opponent_behavior.yaml,1,ok,opponent_model/behavior_predictor.py
F00628,registry/plugins.yaml,4,ok,execution_engine/adapters/base.py;governance_engine/control_plane/policy_hash_anchor.py;intelligence_engine/engine.py;ui/server.py
F00629,registry/portfolio_allocator.yaml,1,ok,intelligence_engine/portfolio/allocator.py
F00630,registry/position_sizer.yaml,4,ok,intelligence_engine/meta_controller/config.py;tests/test_meta_controller_position_sizer.py;tests/test_meta_controller_runtime_adapter.py;ui/server.py
F00631,registry/pressure.yaml,6,ok,core/coherence/performance_pressure.py;tests/test_coherence_performance_pressure.py;tests/test_intelligence_engine_wave1.py;tests/test_meta_controller_hot_path.py;tools/build_status_generator.py
F00632,registry/regime.yaml,6,ok,intelligence_engine/macro/regime_engine.py;intelligence_engine/meta_controller/config.py;intelligence_engine/meta_controller/perception/regime_router.py;tests/test_meta_controller_regime_router.py;tests/test_meta_controller_runtime_adapter.py
F00633,registry/reward_shaping.yaml,1,ok,tests/test_reward_shaping.py
F00634,registry/trader_archetypes.yaml,4,ok,core/contracts/portfolio.py;intelligence_engine/meta/trader_archetypes.py;tests/test_trader_archetypes_registry.py;tools/build_status_generator.py
