file_id,path,lang,bucket,status,analyzed,issues_found
F00000,.agents/skills/testing-self-evolution/SKILL.md,markdown,.agents,analyzed,yes,
F00001,.github/workflows/ci.yml,ci-config,.github,analyzed,yes,
F00002,.github/workflows/dashboard2026.yml,ci-config,.github,analyzed,yes,
F00003,.github/workflows/property_tests.yml,ci-config,.github,analyzed,yes,
F00004,.github/workflows/rust_revival_reminder.yml,ci-config,.github,analyzed,yes,
F00005,.github/workflows/total_validation.yml,ci-config,.github,analyzed,yes,
F00006,.gitignore,unknown,_root,analyzed,yes,
F00007,README.md,markdown,_root,analyzed,yes,
F00008,contracts/events.proto,protobuf,contracts,analyzed,yes,
F00009,core/__init__.py,python,core,analyzed,yes,
F00010,core/causal_graph.py,python,core,analyzed,yes,ruff-format:FORMAT
F00011,core/cognitive_router/__init__.py,python,core,analyzed,yes,
F00012,core/cognitive_router/router.py,python,core,analyzed,yes,ruff-format:FORMAT
F00013,core/cognitive_router/task_class.py,python,core,analyzed,yes,
F00014,core/coherence/__init__.py,python,core,analyzed,yes,
F00015,core/coherence/belief_state.py,python,core,analyzed,yes,
F00016,core/coherence/decision_trace.py,python,core,analyzed,yes,ruff-format:FORMAT
F00017,core/coherence/performance_pressure.py,python,core,analyzed,yes,ruff-format:FORMAT
F00018,core/coherence/system_intent.py,python,core,analyzed,yes,
F00019,core/constraint_engine/__init__.py,python,core,analyzed,yes,
F00020,core/constraint_engine/compiler.py,python,core,analyzed,yes,ruff-format:FORMAT
F00021,core/constraint_engine/expr.py,python,core,analyzed,yes,ruff-format:FORMAT
F00022,core/contracts/__init__.py,python,core,analyzed,yes,
F00023,core/contracts/agent.py,python,core,analyzed,yes,
F00024,core/contracts/api/__init__.py,python,core,analyzed,yes,
F00025,core/contracts/api/backtest_ingestion.py,python,core,analyzed,yes,
F00026,core/contracts/api/cognitive_chat.py,python,core,analyzed,yes,ruff-format:FORMAT
F00027,core/contracts/api/cognitive_chat_approvals.py,python,core,analyzed,yes,ruff-format:FORMAT
F00028,core/contracts/api/credentials.py,python,core,analyzed,yes,
F00029,core/contracts/api/governance.py,python,core,analyzed,yes,
F00030,core/contracts/api/operator.py,python,core,analyzed,yes,
F00031,core/contracts/api/source_trust.py,python,core,analyzed,yes,
F00032,core/contracts/backtest_result.py,python,core,analyzed,yes,ruff-format:FORMAT
F00033,core/contracts/critique.py,python,core,analyzed,yes,ruff-format:FORMAT
F00034,core/contracts/decision_trace.py,python,core,analyzed,yes,ruff-format:FORMAT
F00035,core/contracts/development_mode.py,python,core,analyzed,yes,ruff-format:FORMAT
F00036,core/contracts/engine.py,python,core,analyzed,yes,ruff-format:FORMAT
F00037,core/contracts/event_provenance.py,python,core,analyzed,yes,ruff-format:FORMAT
F00038,core/contracts/events.py,python,core,analyzed,yes,
F00039,core/contracts/execution_intent.py,python,core,analyzed,yes,ruff-format:FORMAT
F00040,core/contracts/external_signal_trust.py,python,core,analyzed,yes,
F00041,core/contracts/governance.py,python,core,analyzed,yes,ruff-format:FORMAT
F00042,core/contracts/launches.py,python,core,analyzed,yes,
F00043,core/contracts/learning.py,python,core,analyzed,yes,
F00044,core/contracts/learning_evolution_freeze.py,python,core,analyzed,yes,ruff-format:FORMAT
F00045,core/contracts/learning_sink.py,python,core,analyzed,yes,ruff-format:FORMAT
F00046,core/contracts/macro.py,python,core,analyzed,yes,ruff-format:FORMAT
F00047,core/contracts/macro_regime.py,python,core,analyzed,yes,ruff-format:FORMAT
F00048,core/contracts/market.py,python,core,analyzed,yes,
F00049,core/contracts/mode_effects.py,python,core,analyzed,yes,ruff-format:FORMAT
F00050,core/contracts/news.py,python,core,analyzed,yes,ruff-format:FORMAT
F00051,core/contracts/operator_consent.py,python,core,analyzed,yes,ruff-format:FORMAT
F00052,core/contracts/opponent.py,python,core,analyzed,yes,ruff-format:FORMAT
F00053,core/contracts/patch.py,python,core,analyzed,yes,ruff-format:FORMAT
F00054,core/contracts/portfolio.py,python,core,analyzed,yes,ruff-format:FORMAT
F00055,core/contracts/risk.py,python,core,analyzed,yes,
F00056,core/contracts/signal_trust.py,python,core,analyzed,yes,
F00057,core/contracts/simulation.py,python,core,analyzed,yes,ruff-format:FORMAT
F00058,core/contracts/source_trust_promotions.py,python,core,analyzed,yes,ruff-format:FORMAT
F00059,core/contracts/strategy_registry.py,python,core,analyzed,yes,ruff-format:FORMAT
F00060,core/contracts/trader_intelligence.py,python,core,analyzed,yes,
F00061,core/event_cognition/__init__.py,python,core,analyzed,yes,
F00062,core/event_cognition/lava_patterns.py,python,core,analyzed,yes,ruff-format:FORMAT
F00063,dash_meme/.gitignore,unknown,dash_meme,analyzed,yes,
F00064,dash_meme/eslint.config.js,js,dash_meme,analyzed,yes,
F00065,dash_meme/index.html,html,dash_meme,analyzed,yes,
F00066,dash_meme/package-lock.json,json,dash_meme,analyzed,yes,
F00067,dash_meme/package.json,json,dash_meme,analyzed,yes,
F00068,dash_meme/postcss.config.js,js,dash_meme,analyzed,yes,
F00069,dash_meme/src/App.tsx,tsx,dash_meme,analyzed,yes,
F00070,dash_meme/src/api/base.ts,ts,dash_meme,analyzed,yes,
F00071,dash_meme/src/api/feeds.ts,ts,dash_meme,analyzed,yes,
F00072,dash_meme/src/api/intent.ts,ts,dash_meme,analyzed,yes,
F00073,dash_meme/src/components/HoldersPanel.tsx,tsx,dash_meme,analyzed,yes,
F00074,dash_meme/src/components/HotPairsTicker.tsx,tsx,dash_meme,analyzed,yes,
F00075,dash_meme/src/components/Panel.tsx,tsx,dash_meme,analyzed,yes,
F00076,dash_meme/src/components/PriceChart.tsx,tsx,dash_meme,analyzed,yes,
F00077,dash_meme/src/components/RugScoreCard.tsx,tsx,dash_meme,analyzed,yes,
F00078,dash_meme/src/components/Sidebar.tsx,tsx,dash_meme,analyzed,yes,
F00079,dash_meme/src/components/StatusPill.tsx,tsx,dash_meme,analyzed,yes,
F00080,dash_meme/src/components/ToastHost.tsx,tsx,dash_meme,analyzed,yes,
F00081,dash_meme/src/components/TopBar.tsx,tsx,dash_meme,analyzed,yes,
F00082,dash_meme/src/components/TradeForm.tsx,tsx,dash_meme,analyzed,yes,
F00083,dash_meme/src/components/TxFeed.tsx,tsx,dash_meme,analyzed,yes,
F00084,dash_meme/src/index.css,css,dash_meme,analyzed,yes,
F00085,dash_meme/src/main.tsx,tsx,dash_meme,analyzed,yes,
F00086,dash_meme/src/pages/BigSwapPage.tsx,tsx,dash_meme,analyzed,yes,
F00087,dash_meme/src/pages/CopyTradingPage.tsx,tsx,dash_meme,analyzed,yes,
F00088,dash_meme/src/pages/MultichartPage.tsx,tsx,dash_meme,analyzed,yes,
F00089,dash_meme/src/pages/MultiswapPage.tsx,tsx,dash_meme,analyzed,yes,
F00090,dash_meme/src/pages/PairExplorerPage.tsx,tsx,dash_meme,analyzed,yes,
F00091,dash_meme/src/pages/PoolExplorerPage.tsx,tsx,dash_meme,analyzed,yes,
